"Year","MatMort","NeoMort","InfMort","Under5Mort","ISO"
2018,NA,26.7,55.4,90.8,"BFA"
2019,NA,26.2,54.1,87.8,"BFA"
2000,434,44,63.1,86,"BGD"
2001,423,42.2,60,81.1,"BGD"
2002,410,40.4,57,76.5,"BGD"
2003,395,38.8,54.3,72.3,"BGD"
2004,372,37.3,51.8,68.3,"BGD"
2005,343,35.9,49.4,64.6,"BGD"
2006,315,34.5,47,61,"BGD"
2007,297,33.1,44.8,57.8,"BGD"
2008,280,31.8,42.7,54.7,"BGD"
2009,269,30.6,40.7,51.8,"BGD"
2010,258,29.4,38.9,49.1,"BGD"
2011,248,28.2,37.2,46.7,"BGD"
2012,238,27.1,35.6,44.4,"BGD"
2013,227,25.9,34,42.2,"BGD"
2014,214,24.8,32.5,40.1,"BGD"
2015,200,23.6,31,38.1,"BGD"
2016,186,22.4,29.6,36.1,"BGD"
2017,173,20.9,28.2,34.2,"BGD"
2018,NA,19.7,26.8,32.4,"BGD"
2019,NA,18.5,25.5,30.7,"BGD"
2000,19,7.9,14.4,17.5,"BGR"
2001,18,7.6,13.8,16.7,"BGR"
2002,17,7.3,13.2,15.9,"BGR"
2003,16,6.9,12.5,15.1,"BGR"
2004,16,6.4,11.8,14.2,"BGR"
2005,15,6,11,13.3,"BGR"
2006,14,5.6,10.3,12.4,"BGR"
2007,13,5.3,9.9,11.8,"BGR"
2008,13,5.2,9.5,11.4,"BGR"
2009,12,5.2,9.3,11.1,"BGR"
2010,12,5.1,9,10.8,"BGR"
2011,12,5,8.7,10.4,"BGR"
2012,11,4.8,8.2,9.8,"BGR"
2013,10,4.5,7.8,9.3,"BGR"
2014,11,4.3,7.3,8.7,"BGR"
2015,10,4.1,6.9,8.2,"BGR"
2016,10,3.9,6.5,7.7,"BGR"
2017,10,3.7,6.1,7.3,"BGR"
2018,NA,3.4,5.8,7,"BGR"
2019,NA,3.2,5.5,6.6,"BGR"
2000,27,4.7,10.7,12.5,"BHR"
2001,19,4.4,10.3,12,"BHR"
2002,25,4.1,10,11.6,"BHR"
2003,21,3.9,9.7,11.3,"BHR"
2004,21,3.7,9.4,11,"BHR"
2005,19,3.6,9.1,10.6,"BHR"
2006,24,3.4,8.8,10.2,"BHR"
2007,16,3.3,8.4,9.8,"BHR"
2008,18,3.2,8,9.3,"BHR"
2009,19,3.2,7.6,8.9,"BHR"
2010,18,3.2,7.3,8.5,"BHR"
2011,15,3.2,7,8.2,"BHR"
2012,18,3.2,6.8,8,"BHR"
2013,17,3.2,6.7,7.8,"BHR"
2014,15,3.2,6.6,7.7,"BHR"
2015,15,3.2,6.5,7.6,"BHR"
2016,15,3.2,6.4,7.5,"BHR"
2017,14,3.1,6.3,7.3,"BHR"
2018,NA,3.1,6.1,7.1,"BHR"
2019,NA,3,5.9,7,"BHR"
2000,75,8,13.9,16.3,"BHS"
2001,76,8.2,14,16.4,"BHS"
2002,78,8.3,14.1,16.5,"BHS"
2003,79,8.5,14.3,16.7,"BHS"
2004,78,8.6,14.4,16.8,"BHS"
2005,77,8.7,14.4,16.8,"BHS"
2006,78,8.7,14.3,16.7,"BHS"
2007,77,8.6,14.1,16.5,"BHS"
2008,77,8.5,13.9,16.2,"BHS"
2009,78,8.3,13.6,15.9,"BHS"
2010,78,8.1,13.3,15.6,"BHS"
2011,78,7.9,13,15.2,"BHS"
2012,78,7.8,12.8,14.9,"BHS"
2013,78,7.7,12.5,14.6,"BHS"
2014,77,7.5,12.2,14.3,"BHS"
2015,74,7.4,12,14,"BHS"
2016,72,7.3,11.7,13.7,"BHS"
2017,70,7.2,11.4,13.3,"BHS"
2018,NA,7,11.2,13,"BHS"
2019,NA,6.9,14.5,22.4,"BHS"
2000,17,6.9,8.7,9.9,"BIH"
2001,16,6.5,8.4,9.6,"BIH"
2002,14,6.2,8.2,9.3,"BIH"
2003,14,5.9,8.1,9.2,"BIH"
2004,14,5.7,7.9,9.1,"BIH"
2005,13,5.5,7.8,8.9,"BIH"
2006,13,5.4,7.5,8.6,"BIH"
2007,13,5.3,7.2,8.3,"BIH"
2008,11,5.3,6.9,7.9,"BIH"
2009,11,5.2,6.6,7.5,"BIH"
2010,11,5.1,6.3,7.2,"BIH"
2011,10,5,6,6.9,"BIH"
2012,10,4.9,5.8,6.7,"BIH"
2013,10,4.8,5.6,6.5,"BIH"
2014,10,4.7,5.5,6.4,"BIH"
2015,10,4.6,5.4,6.3,"BIH"
2016,10,4.5,5.3,6.2,"BIH"
2017,10,4.4,5.3,6.1,"BIH"
2018,NA,4.3,5.2,6,"BIH"
2019,NA,4.2,5.1,5.9,"BIH"
2000,22,6,9.9,12.7,"BLR"
2001,19,5.5,9.2,11.8,"BLR"
2002,18,5,8.5,10.9,"BLR"
2003,15,4.5,7.8,10.1,"BLR"
2004,13,4,7.3,9.4,"BLR"
2005,11,3.5,6.7,8.7,"BLR"
2006,9,3,6.2,8,"BLR"
2007,7,2.6,5.6,7.3,"BLR"
2008,6,2.2,5.1,6.6,"BLR"
2009,6,2,4.6,6.1,"BLR"
2010,5,1.8,4.3,5.6,"BLR"
2011,5,1.7,3.9,5.2,"BLR"
2012,4,1.7,3.7,4.9,"BLR"
2013,3,1.7,3.5,4.6,"BLR"
2014,3,1.6,3.3,4.3,"BLR"
2015,3,1.6,3.1,4.1,"BLR"
2016,3,1.5,2.9,3.9,"BLR"
2017,2,1.4,2.7,3.6,"BLR"
2018,NA,1.2,2.5,3.4,"BLR"
2019,NA,1.1,2.4,3.1,"BLR"
2000,89,12,20,23.6,"BLZ"
2001,88,11.6,19.4,22.8,"BLZ"
2002,82,11.1,18.9,22.2,"BLZ"
2003,80,10.6,18.5,21.7,"BLZ"
2004,75,10,18.2,21.3,"BLZ"
2005,70,9.4,17.9,20.9,"BLZ"
2006,65,8.7,17.6,20.6,"BLZ"
2007,61,8.4,17.3,20.3,"BLZ"
2008,59,8.4,17,19.9,"BLZ"
2009,57,8.7,16.6,19.4,"BLZ"
2010,54,9.3,16.2,18.9,"BLZ"
2011,52,10,15.7,18.3,"BLZ"
2012,50,10.4,15.2,17.7,"BLZ"
2013,48,10.5,14.6,16.9,"BLZ"
2014,46,10.4,13.9,16.1,"BLZ"
2015,43,10.1,13.2,15.3,"BLZ"
2016,39,9.6,12.5,14.5,"BLZ"
2017,36,9.1,11.8,13.7,"BLZ"
2018,NA,8.6,11.1,12.9,"BLZ"
2019,NA,8.1,10.6,12.3,"BLZ"
2000,NA,NA,NA,NA,"BMU"
2001,NA,NA,NA,NA,"BMU"
2002,NA,NA,NA,NA,"BMU"
2003,NA,NA,NA,NA,"BMU"
2004,NA,NA,NA,NA,"BMU"
2005,NA,NA,NA,NA,"BMU"
2006,NA,NA,NA,NA,"BMU"
2007,NA,NA,NA,NA,"BMU"
2008,NA,NA,NA,NA,"BMU"
2009,NA,NA,NA,NA,"BMU"
2010,NA,NA,NA,NA,"BMU"
2011,NA,NA,NA,NA,"BMU"
2012,NA,NA,NA,NA,"BMU"
2013,NA,NA,NA,NA,"BMU"
2014,NA,NA,NA,NA,"BMU"
2015,NA,NA,NA,NA,"BMU"
2016,NA,NA,NA,NA,"BMU"
2017,NA,NA,NA,NA,"BMU"
2018,NA,NA,NA,NA,"BMU"
2019,NA,NA,NA,NA,"BMU"
2000,331,29.6,55.9,75.6,"BOL"
2001,320,28.7,53.1,71.3,"BOL"
2002,309,28,50.4,67.2,"BOL"
2003,297,27.4,47.8,63.3,"BOL"
2004,283,26.8,45.4,59.6,"BOL"
2005,271,26.2,43.1,56.2,"BOL"
2006,258,25.5,40.8,52.9,"BOL"
2007,246,24.7,38.7,49.8,"BOL"
