"conflict_id","ISO","year","best","binaryconflict"
333,"AFG",2005,4,0
333,"AFG",2005,2,0
333,"AFG",2005,5,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,9,0
333,"AFG",2006,2,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,9,0
333,"AFG",2006,7,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,5,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,5,0
333,"AFG",2006,7,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,0,0
333,"AFG",2006,5,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,12,0
333,"AFG",2006,0,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,8,0
333,"AFG",2006,2,0
333,"AFG",2006,9,0
333,"AFG",2006,12,0
333,"AFG",2006,5,0
333,"AFG",2006,5,0
333,"AFG",2006,1,0
333,"AFG",2006,6,0
333,"AFG",2006,6,0
333,"AFG",2006,8,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,7,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,42,1
333,"AFG",2006,29,1
333,"AFG",2006,25,1
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,5,0
333,"AFG",2006,12,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,11,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
